原始行号,说话人,文本内容,source,BERTopic主题ID_Erlangshen,事件ID_Hybrid_V5,是否为新事件开始_Hybrid_V5
481,许野,话可不是这么说的吧。,13,-1,64,FALSE
482,许野,当初许也围着顾梦瑶的时候，,13,-1,64,FALSE
483,许野,也没见他脸好脸色。,13,-1,64,FALSE
484,刘倩,你是不是觉得男生追女生只要对女生好，,13,-1,65,TRUE
485,刘倩,我们就一定要同意啊。,13,-1,65,FALSE
486,刘倩,男生追女生，,14,-1,65,FALSE
487,刘倩,只要对女生好，,14,-1,65,FALSE
488,刘倩,我们就一定要同意啊。,14,-1,65,FALSE
489,秦志伟,喜欢就是喜欢，不喜欢就是不接受。,14,1,66,TRUE
490,秦志伟,她如果不喜欢许野的话，,14,0,66,FALSE
491,秦志伟,为什么要隔三差五的接受他的早餐？,14,0,66,FALSE
492,刘倩,接受不代表同意,14,0,66,FALSE
493,秦志伟,你们什么逻辑啊？,14,0,67,TRUE
494,许野,行了，,14,0,67,FALSE
495,许野,我没功夫陪你们，,14,0,67,FALSE
496,许野,在这浪费时间，,14,0,67,FALSE
497,许野,没什么事儿，,14,0,67,FALSE
498,许野,我先走了。,14,0,67,FALSE
499,顾梦瑶,许野，,14,-1,67,FALSE
500,顾梦瑶,你必须给我一个解释。,14,-1,67,FALSE
501,许野,你是谁啊？,14,2,67,FALSE
502,许野,我凭什么给你解释，让开！,14,0,67,FALSE
503,顾梦瑶,我就不让！,14,0,67,FALSE
504,许野,哎女朋友想我啦！,14,0,67,FALSE
505,陈青青,我想去看电影，,14,0,68,TRUE
506,陈青青,我们现在就去，,14,0,68,FALSE
507,陈青青,我去接你,14,0,68,FALSE
508,许野,那正好我这有俩神经病一直缠着我的，你快来吧啊。,14,-1,68,FALSE
509,刘倩,梦瑶，,14,0,68,FALSE
510,刘倩,你不会真的要跟他在一起吧。,14,0,68,FALSE
511,顾梦瑶,我只是说高中不准备谈对象。,14,0,69,TRUE
512,顾梦瑶,又没说大学不会谈。,14,-1,69,FALSE
513,刘倩,你真喜欢他呀？,14,-1,69,FALSE
514,顾梦瑶,我就是觉得身边突然少了一个人，,14,1,70,TRUE
515,顾梦瑶,很没有安全感。,14,1,70,FALSE
516,顾梦瑶,我就是身边突然少了一个人，,15,1,70,FALSE
517,顾梦瑶,很没有安全感。,15,1,70,FALSE
518,刘倩,梦瑶没事的，,15,-1,71,TRUE
519,刘倩,上了大学就好了。,15,-1,71,FALSE
520,刘倩,大学里比学院还要好的，,15,1,71,FALSE
521,刘倩,高富帅肯定多的是，到时候一定很多人追你的。,15,1,71,FALSE
522,顾梦瑶,刘倩，,15,0,72,TRUE
523,顾梦瑶,你说许野，,15,0,72,FALSE
524,顾梦瑶,他说的是真的吗？,15,0,72,FALSE
525,刘倩,什么真的呀？,15,0,72,FALSE
526,顾梦瑶,他真的有女朋友了吗？,15,0,72,FALSE
527,刘倩,哎，,15,0,72,FALSE
528,刘倩,肯定是骗人的呀，,15,0,72,FALSE
529,刘倩,我们才高考完了半个多月，,15,0,72,FALSE
530,刘倩,他一直在打暑期工，,15,0,72,FALSE
531,刘倩,哪有时间找女朋友啊？,15,0,72,FALSE
532,顾梦瑶,秦志伟，许野，,15,-1,73,TRUE
533,顾梦瑶,是不是找了新的女朋友啊，,15,-1,73,FALSE
534,秦志伟,我不知道，这到底有没有女朋友，也不跟我说清楚。,15,1,73,FALSE
535,许野,好，,15,0,74,TRUE
536,许野,我等着你。,15,0,74,FALSE
537,许野,嗯，,15,-1,74,FALSE
538,许野,我女朋友一会儿就来接我了。,15,-1,74,FALSE
539,秦志伟,许野，,15,-1,74,FALSE
540,秦志伟,你不会真的有女朋友了吧。,15,-1,74,FALSE
541,许野,当然是真的了。,15,1,74,FALSE
542,许野,我要是骗你，以后，,15,-1,74,FALSE
543,许野,我不再看爱情动作片，,15,-1,74,FALSE
544,秦志伟,发这么毒的誓啊。,15,-1,75,TRUE
545,顾梦瑶,许野，,15,0,75,FALSE
546,顾梦瑶,你一定是骗我的，,15,0,75,FALSE
547,顾梦瑶,对不对？,15,0,75,FALSE
548,许野,我没功夫骗你，,15,1,75,FALSE
549,许野,你还是赶紧走吧，,15,1,75,FALSE
550,许野,不然让我女朋友误会。,15,1,75,FALSE
551,刘倩,许野，也就算你有女朋友，,15,0,75,FALSE
552,刘倩,那也一定没有梦瑶漂亮。,15,0,75,FALSE
553,段青俊,梦瑶，,16,0,75,FALSE
554,段青俊,你看你走太快了，,16,0,75,FALSE
555,段青俊,包都忘拿了谢谢。,16,0,75,FALSE
556,段青俊,等车呢梦瑶，,16,0,75,FALSE
557,段青俊,我正好让我爸开奔驰过来呢，,16,0,75,FALSE
558,段青俊,一会儿让他一起送你回去。,16,0,75,FALSE
559,刘倩,没想到你家这么有钱啊。,16,-1,75,FALSE
560,段青俊,还行吧，,16,0,75,FALSE
561,段青俊,我爸在银行上班是银行经理，,16,0,75,FALSE
562,刘倩,梦瑶，,16,0,76,TRUE
563,刘倩,我们坐他们家车吧，,16,0,76,FALSE
564,刘倩,我还没有坐过奔驰呢。,16,0,76,FALSE
565,顾梦瑶,许野，你是骗我的，,16,0,76,FALSE
566,顾梦瑶,对不对？,16,0,76,FALSE
567,顾梦瑶,你是故意编了个女朋友，,16,0,76,FALSE
568,顾梦瑶,想要骗我的，,16,0,76,FALSE
569,顾梦瑶,是不是？,16,0,76,FALSE
570,刘倩,许野一直在欺负梦瑶，,16,0,76,FALSE
571,刘倩,刚才说要让他女朋友来接他。,16,0,76,FALSE
572,段青俊,你过分了吧，,16,-1,76,FALSE
573,段青俊,你别仗着梦瑶，,16,-1,76,FALSE
574,段青俊,他喜欢你，,16,-1,76,FALSE
575,段青俊,你就这样玩弄他的感情。,16,-1,76,FALSE
576,许野,谁要玩弄他感情了，,16,0,76,FALSE
577,许野,我早就跟他说过，,16,0,76,FALSE
578,许野,我有女朋友，是她对我纠缠不休。,16,0,76,FALSE
579,段青俊,你怎么可能有女朋友，,16,0,76,FALSE
580,段青俊,你还说不是故意气梦瑶的，快给梦瑶道歉！,16,0,76,FALSE
581,许野,你喜欢给他当狗，,16,1,77,TRUE
582,许野,不是所有人都跟你一样喜欢给她当狗的。,16,1,77,FALSE
583,李楠,你！,16,3,77,FALSE
584,李楠,许野，都是同学，,16,-1,77,FALSE
585,李楠,你话说的太过分了！,16,-1,77,FALSE
586,段鹏,青俊。,17,2,78,TRUE
587,段青俊,爸，,17,0,78,FALSE
588,段青俊,正好，,17,0,78,FALSE
589,段青俊,我这有几个同学帮我送他们回家，女同学。,17,0,78,FALSE
590,顾梦瑶,叔叔好，,17,5,78,FALSE
591,段鹏,同学们好，青俊啊，你看看有事顺路一刻上车吧。,17,1,79,TRUE
592,段青俊,得嘞，,17,-1,79,FALSE
593,段鹏,他不是大小姐的男朋友吗？,17,0,80,TRUE
594,段鹏,居然是青俊的同学，,17,-1,80,FALSE
595,段鹏,或许得好好问问青俊，,17,-1,80,FALSE
596,顾梦瑶,难道是我的错觉吗？,17,-1,80,FALSE
597,顾梦瑶,段青君的爸爸居然对许野点头示意。,17,-1,80,FALSE
598,刘倩,梦瑶还愣着干什么呀？,17,0,80,FALSE
599,刘倩,我们赶紧走吧。,17,0,80,FALSE
600,顾梦瑶,嗯要不你先走吧，,17,-1,80,FALSE
601,顾梦瑶,我再等等。,17,-1,80,FALSE
602,刘倩,梦瑶，他都故意那样气你了，,17,-1,80,FALSE
603,刘倩,你还管他干什么呀？,17,-1,80,FALSE
604,顾梦瑶,刘倩。,17,0,80,FALSE
605,段青俊,就是梦瑶，,17,0,81,TRUE
606,段青俊,你才是天下最漂亮的，,17,0,81,FALSE
607,段青俊,就算她找了女朋友，,17,0,81,FALSE
608,段青俊,肯定也不及你的万分之一。,17,0,81,FALSE
609,李楠,许野，,17,0,81,FALSE
610,李楠,你要是想着随便找一个人来冒充女朋友，,17,0,81,FALSE
611,李楠,故意气梦瑶的话，,17,0,81,FALSE
612,李楠,那我只能说你太幼稚了，,17,0,81,FALSE
613,刘倩,就是，我们梦瑶可是班花。,17,-1,81,FALSE
614,NPC,不是哎你们看那什么车，好漂亮啊，,17,0,81,FALSE
615,NPC,哦，,18,0,81,FALSE
616,NPC,这是天女下凡吧，,18,0,81,FALSE
617,NPC,怎么会有这么漂亮的女人，,18,0,81,FALSE
618,NPC,他好像在看我，,18,0,81,FALSE
619,NPC,哎，,18,0,81,FALSE
620,陈青青,走吧。,18,1,82,TRUE
621,陈青青,许野，,18,-1,82,FALSE
622,陈青青,我们去看电影吧。,18,-1,82,FALSE
623,顾梦瑶,说的是真的，,18,-1,82,FALSE
624,顾梦瑶,他真的有女朋友，,18,-1,82,FALSE
625,刘倩,这可比顾梦瑶优秀多了，,18,1,83,TRUE
626,刘倩,要是能成为她的闺蜜就好了。,18,1,83,FALSE
627,段青俊,他是许野女朋友，,18,0,83,FALSE
628,段青俊,凭什么呀？,18,0,83,FALSE
629,段青俊,那个美女，,18,0,83,FALSE
630,段青俊,我自我介绍一下，,18,0,83,FALSE
631,段青俊,我爸呢是银行的经理，,18,0,83,FALSE
632,段青俊,我呢,18,0,83,FALSE
633,段鹏,给我滚一边去。,18,1,84,TRUE
634,段鹏,大小姐，,18,0,84,FALSE
635,段鹏,许先生，,18,0,84,FALSE
636,段鹏,对不起啊，,18,0,84,FALSE
637,段鹏,我儿子喝多了，,18,0,84,FALSE
638,段鹏,我代他向你道歉。,18,0,84,FALSE
639,许野,段经理，,18,1,85,TRUE
640,许野,家庭教育挺重要的，,18,1,85,FALSE
641,段鹏,是，您说的是。,18,0,85,FALSE
642,许野,青青,18,0,85,FALSE
643,许野,这是伟哥，,18,0,85,FALSE
644,许野,是我的死党。,18,0,85,FALSE
645,许野,从小学到高中，,18,0,85,FALSE
646,许野,我们一直是同学，,18,0,85,FALSE
647,许野,我们关系很好了。,18,0,85,FALSE
648,陈青青,你好伟哥。,18,1,85,FALSE
649,秦志伟,你好你好。,18,1,85,FALSE
650,许野,伟哥，,18,0,85,FALSE
651,许野,我就不送你回去了，,18,0,85,FALSE
652,许野,我要跟我女朋友看电影去呢。,18,0,85,FALSE
653,秦志伟,哎好好好好好看电影好。,18,1,85,FALSE
654,段鹏,慢走啊，,18,0,85,FALSE
655,秦志伟,这小子真能找到女朋友，,19,-1,86,TRUE
656,秦志伟,哎，,19,-1,86,FALSE
657,秦志伟,等会儿我什么时候让他叫我伟哥了。,19,-1,86,FALSE
658,秦志伟,臭小子走的什么桃花运，,19,-1,86,FALSE
659,秦志伟,竟然能找到这么好看一个女朋友。,19,-1,86,FALSE
660,秦志伟,真他妈该死。,19,0,86,FALSE
661,段鹏,你给我起来，,19,-1,87,TRUE
662,段鹏,谁让你这么狂的？,19,-1,87,FALSE
663,段鹏,我就是一个小小的银行经理，,19,-1,87,FALSE
664,段鹏,很屌吗？,19,-1,87,FALSE
665,段青俊,爸，,19,0,88,TRUE
666,段青俊,那女的到底谁呀？,19,0,88,FALSE
667,段鹏,你是不是眼瞎？,19,0,88,FALSE
668,段鹏,人家开的是劳斯莱斯，,19,-1,88,FALSE
669,段鹏,咱开的是什么？,19,-1,88,FALSE
670,段鹏,更何况我在他面前都得恭恭敬敬的，,19,0,88,FALSE
671,段鹏,你还敢这么狂，,19,0,88,FALSE
672,段鹏,不如你来当爹。,19,0,88,FALSE
673,段青俊,爸，许野总没背景了吧。,19,-1,88,FALSE
674,段鹏,你还有脸说，,19,0,89,TRUE
675,段鹏,人家年纪轻轻，,19,0,89,FALSE
676,段鹏,就在我们银行开户，还存了不少钱，,19,0,89,FALSE
677,段鹏,做投资理财，,19,0,89,FALSE
678,段鹏,你也配跟人家比。,19,0,89,FALSE
679,段鹏,再说了，,19,-1,89,FALSE
680,段鹏,他还是大小姐的男朋友。,19,-1,89,FALSE
681,段青俊,他真是许野女朋友,19,0,89,FALSE
682,段青俊,都见过家长了，你说呢？,19,0,89,FALSE
683,段青俊,滚回车上去。,19,0,89,FALSE
684,段鹏,行长，我看到小姐了，,19,0,89,FALSE
685,陈青青,拉够了吗？,19,-1,89,FALSE
686,许野,不好意思啊，,19,-1,90,TRUE
687,许野,我入戏太深了。,19,-1,90,FALSE
688,许野,嗯，,19,-1,90,FALSE
689,许野,臭小孙走的什么桃花运，竟然能找到这么好看的一个女朋友，,19,-1,90,FALSE
690,许野,真他妈该死，,19,-1,90,FALSE
691,许野,因为爷帅呀，啊？嗯？,19,-1,90,FALSE
692,陈青青,挂掉。,19,-1,90,FALSE
693,陈青青,挂掉啊，,20,0,91,TRUE
694,陈青青,这是我爸的电话，,20,0,91,FALSE
695,陈青青,以后只要他给你打电话，,20,0,91,FALSE
696,陈青青,你都别接。,20,0,91,FALSE
697,许野,不是你爸怎么会有我的电话号码。,20,0,91,FALSE
698,陈青青,前两天你是去银行干什么了，,20,-1,91,FALSE
699,许野,办卡呀，,20,0,91,FALSE
700,许野,他是他的高管啊，,20,0,91,FALSE
701,陈青青,他是行长，,20,0,91,FALSE
702,许野,你笑什么？,20,0,92,TRUE
703,许野,你说你说他会不会把我单独约出来，,20,0,92,FALSE
704,许野,然后告诉我给你一百万，,20,0,92,FALSE
705,许野,离我女儿远点儿，,20,0,92,FALSE
706,陈青青,你在想屁吃，,20,0,93,TRUE
707,许野,不是，你怎么不问，,20,-1,93,FALSE
708,许野,我会不会答应？,20,-1,93,FALSE
709,陈青青,那你会答应吗？,20,0,93,FALSE
710,许野,我当然我当然会呀，,20,1,94,TRUE
711,许野,你别说给我一百万了，,20,1,94,FALSE
712,许野,你给我一万块，,20,1,94,FALSE
713,许野,我都听你爸的。,20,1,94,FALSE
714,陈青青,混蛋。,20,1,94,FALSE
715,许野,哎，,20,-1,94,FALSE
716,许野,那个我大学在魔都技术学院，,20,-1,94,FALSE
717,许野,你会在魔都吗？,20,-1,94,FALSE
718,陈青青,我在魔都音乐学院，,20,0,95,TRUE
719,陈青青,那到时候我送你去呗。,20,0,95,FALSE
720,陈青青,嗯嗯。,20,1,95,FALSE
721,陈寒松,啊，,20,-1,95,FALSE
722,陈寒松,猪！猪！天杀的二百五，,20,-1,95,FALSE
723,陈寒松,谁也不许碰我的女儿。,20,-1,95,FALSE
724,许野,妈。,21,2,95,FALSE
725,张虹,昨晚怎么又那么晚回来啊，,21,0,95,FALSE
726,许野,哎呀。,21,1,95,FALSE
727,张虹,哦，,21,1,95,FALSE
728,张虹,对了，,21,1,95,FALSE
729,张虹,我忘记问你了。,21,1,95,FALSE
730,许野,嗯，,21,4,95,FALSE
731,张虹,这暑期工作都干什么呀？,21,0,96,TRUE
732,许野,哎呀，不是说了吗？,21,-1,96,FALSE
733,许野,服务行业的,21,-1,96,FALSE
734,张虹,具体一点,21,3,96,FALSE
735,许野,酒吧当男模。,21,0,96,FALSE
736,张虹,什么，我花钱供你读书，,21,-1,97,TRUE
737,张虹,你就去做那种工作，,21,-1,97,FALSE
738,张虹,这是白养。,21,-1,97,FALSE
739,张虹,以后你别叫我妈。,21,1,97,FALSE
740,许野,一个月八千。,21,0,97,FALSE
741,张虹,这话要说回来了啊，,21,-1,98,TRUE
742,张虹,工作不分高低贵贱，,21,-1,98,FALSE
743,张虹,呃，,21,-1,98,FALSE
744,张虹,都是靠双手挣钱嘛，,21,-1,98,FALSE
745,张虹,不丢人。,21,-1,98,FALSE
746,张虹,对了，,21,0,98,FALSE
747,张虹,你爸能去吗？,21,0,98,FALSE
748,许向东,你俩能不能好好说话？,21,-1,98,FALSE
749,许野,哎呀，其实我就是在一个青吧里当服务员，,21,0,98,FALSE
750,许野,人家是正经行业。,21,0,98,FALSE
751,许野,老板娘对我可好了呢。,21,-1,98,FALSE
752,许野,我吃饱了，,21,0,98,FALSE
753,许野,先走了妈。,21,0,98,FALSE
754,陈寒松,我是陈青青的父亲，,21,0,98,FALSE
755,陈寒松,你是许野，,21,0,98,FALSE
756,陈寒松,对吧？,21,0,98,FALSE
757,许野,是我。,21,1,98,FALSE
758,陈寒松,司机已经在你家楼下了，,21,0,98,FALSE
759,陈寒松,你坐车来银行一趟，,21,0,98,FALSE
760,陈寒松,我想跟你聊聊，,21,0,98,FALSE
761,陈寒松,妈我出去一趟,21,0,98,FALSE
762,张虹,又去找谁啊？,21,-1,99,TRUE
763,张虹,找我未来的老丈人啊，,21,0,99,FALSE
764,段鹏,许先生，跟我来吧，,21,0,100,TRUE
765,段鹏,行长在楼上等你。,21,0,100,FALSE
766,NPC,段经理好。,22,0,100,FALSE
767,NPC,先生你好，,22,5,100,FALSE
768,段鹏,行长，人到了。,22,0,100,FALSE
769,陈寒松,不要紧张，,22,1,101,TRUE
770,陈寒松,先坐。,22,1,101,FALSE
771,许野,我不紧张。,22,1,101,FALSE
772,许野,哎，,22,-1,101,FALSE
773,许野,你也是刚高考完，高考分数怎么样？,22,-1,101,FALSE
774,许野,还行吧，六百零八分,22,-1,101,FALSE
775,陈寒松,有目标院校吗？,22,-1,101,FALSE
776,许野,魔都金融学院,22,-1,101,FALSE
777,陈寒松,以你的成绩其实可以有更好的选择。,22,0,101,FALSE
778,许野,我的高考分数要想去魔都的话，,22,0,101,FALSE
779,许野,选择并不多。,22,0,101,FALSE
780,陈寒松,所以你首先考虑的是地理位置，,22,0,101,FALSE
781,陈寒松,是因为知道青青也要去魔都。,22,0,101,FALSE
782,许野,对。,22,1,101,FALSE
783,陈寒松,是这样的，,22,-1,102,TRUE
784,陈寒松,晶晶做的决定，,22,-1,102,FALSE
785,陈寒松,我和他妈都没法劝得动。,22,-1,102,FALSE
786,陈寒松,今天叫你来呢，,22,1,102,FALSE
787,陈寒松,是想跟你商量一下，,22,1,102,FALSE
788,陈寒松,你能不能换一所目标院校。,22,1,102,FALSE
789,许野,不能。,22,1,102,FALSE
790,陈寒松,先不要着急拒绝。,22,0,103,TRUE
791,陈寒松,我在金融行业也算是有些人脉，,22,0,103,FALSE
792,陈寒松,如果你答应我的话，,22,0,103,FALSE
793,陈寒松,等你大学毕业，,22,0,103,FALSE
794,陈寒松,我给你谋一份体面的工作，,22,0,103,FALSE
795,陈寒松,应该是不难的。,22,0,103,FALSE
796,许野,就因为我跟你女儿在同一个城市上大学，你就让我换一所大学上，,22,1,103,FALSE
797,许野,陈叔叔，你是有多看不起我。,22,1,103,FALSE
798,陈寒松,小伙子。,22,0,104,TRUE
799,许野,陈行长，你说话一直都有这么高高在上趾高气昂吗？,22,-1,104,FALSE
800,许野,还是说只有跟我们这种小任务说话，,22,-1,104,FALSE
801,许野,您才这样啊？,22,-1,104,FALSE
802,陈寒松,小伙子，,22,0,104,FALSE
803,陈寒松,你不要太气盛了。,22,0,104,FALSE
804,许野,不气盛，,22,0,104,FALSE
805,许野,还叫年轻人吗？,22,0,104,FALSE
806,陈寒松,不气盛还叫年轻人吗？,23,-1,104,FALSE
807,陈寒松,不是，他，他一个十八九岁的毛头小子，他凭什么啊他,23,-1,104,FALSE
808,陈寒松,他凭什么怨他？,23,-1,104,FALSE
809,陈寒松,哼,23,0,104,FALSE
810,陈寒松,我刚跟那小子聊过了，,23,0,104,FALSE
811,陈寒松,这事儿，,23,0,104,FALSE
812,陈寒松,这事儿好像被我搞砸了，,23,0,104,FALSE
813,江美琳,你怎么说的？,23,-1,104,FALSE
814,江美琳,我早就说过，,23,-1,104,FALSE
815,江美琳,把你的架子收一收，,23,-1,104,FALSE
816,江美琳,现在年轻人不吃这套，,23,-1,104,FALSE
817,陈寒松,那我哪知道他会拒绝呀。,23,1,104,FALSE
818,陈青青,妈，,23,-1,104,FALSE
819,陈青青,我出去一趟，,23,-1,104,FALSE
820,江美琳,你是要去找巡野吗？,23,0,104,FALSE
821,陈青青,嗯，,23,4,104,FALSE
822,江美琳,青青妈妈能跟你一起去吗？,23,-1,105,TRUE
823,江美琳,啊，,23,0,105,FALSE
824,江美琳,妈妈没有要阻止你的意思，,23,0,105,FALSE
825,江美琳,我是觉得你爸做的不好，,23,0,105,FALSE
826,江美琳,我想去跟许野道个歉。,23,0,105,FALSE
827,陈青青,嗯，,23,4,105,FALSE
828,江美琳,那妈妈去换套衣服。,23,1,105,FALSE
829,许野,来啦，,24,0,105,FALSE
830,江美琳,你好，,24,-1,105,FALSE
831,江美琳,我是陈青青的妈妈。,24,-1,105,FALSE
832,许野,阿姨好，,24,1,105,FALSE
833,许野,呃，,24,1,105,FALSE
834,许野,来这边坐吧，,24,1,105,FALSE
835,许野,我给你们弄点饮料。,24,1,105,FALSE
836,江美琳,好,24,3,105,FALSE
837,许野,来,24,6,105,FALSE
838,陈青青,谢谢,24,5,106,TRUE
839,江美琳,谢谢,24,5,106,FALSE
840,许野,陈青青,24,1,107,TRUE
841,许野,嗯，,24,1,107,FALSE
842,许野,我得给你道个歉。,24,1,107,FALSE
843,许野,今天下午你爸找我了，,24,0,107,FALSE
844,许野,他说了让我很生气的话，,24,0,107,FALSE
845,许野,我听了很恼火，,24,0,107,FALSE
846,许野,所以才约你出来。,24,0,107,FALSE
847,陈青青,没事儿，,24,1,107,FALSE
848,陈青青,我不在意的。,24,1,107,FALSE
849,许野,为什么？,24,8,107,FALSE
850,陈青青,因为他一直都觉得所有的人都得听他的，,24,-1,107,FALSE
851,陈青青,所以我大概能猜到他跟你说了些什么？,24,-1,107,FALSE
852,许野,嗯，,24,4,107,FALSE
853,陈青青,你不是说你会弹吉他吗？,24,-1,108,TRUE
854,陈青青,你跟谁学的？,24,-1,108,FALSE
855,许野,我自学的，,24,-1,109,TRUE
856,陈青青,自学的,24,0,109,FALSE
857,许野,嗯,24,3,110,TRUE
858,陈青青,吹牛,24,6,110,FALSE
859,许野,你把吉他给我，,24,1,111,TRUE
860,许野,今天下午跟你爸聊完之后，,24,1,111,FALSE
861,许野,我就写了一首歌，,24,1,111,FALSE
862,许野,歌名叫做。,24,1,111,FALSE
863,许野,《如果有一天我变得很有钱》,24,0,111,FALSE
864,陈青青,如果有一天我变得很有钱，,24,-1,111,FALSE
865,许野,嗯,24,0,111,FALSE
866,许野,如果有一天我变得很有钱，,24,0,111,FALSE
867,许野,我的第一选择不是去环游世界，,24,0,111,FALSE
868,许野,躺在世界上最大最软的沙发。,24,0,111,FALSE
869,陈寒松,怎么样？,25,8,112,TRUE
870,陈寒松,我就说我是个天才吧。,25,-1,112,FALSE
871,江美琳,许野，,25,0,112,FALSE
872,江美琳,我替青青爸爸跟你道个歉，,25,0,112,FALSE
873,江美琳,今天他说话是有点过分了，,25,0,112,FALSE
874,陈寒松,没事儿。,25,5,113,TRUE
875,陈寒松,其实我也理解，,25,0,113,FALSE
876,陈寒松,毕竟我只是一个在酒吧打暑期工的年轻人，,25,0,113,FALSE
877,陈寒松,而他是地位尊贵的银行行长，,25,0,113,FALSE
878,江美琳,你已经比绝大多数年轻人都更优秀，,25,0,113,FALSE
879,江美琳,你有什么理想吗？,25,0,113,FALSE
880,陈寒松,远的我倒没有想，,25,-1,113,FALSE
881,陈寒松,现在我只想挣钱，,25,-1,113,FALSE
882,陈寒松,挣很多很多钱，,25,-1,113,FALSE
883,江美琳,多少才算多啊，,25,0,114,TRUE
884,陈寒松,多到我银行卡里的存款，,25,-1,114,FALSE
885,陈寒松,让陈叔叔没有偏见才算多,25,-1,114,FALSE
886,江美琳,钱。对你来说真的就这么重要吗？,25,1,115,TRUE
887,陈寒松,当然了，,25,-1,115,FALSE
888,陈寒松,在这个礼崩乐坏的年代，,25,-1,115,FALSE
889,陈寒松,那没钱，,25,-1,115,FALSE
890,陈寒松,连媳妇都娶不了礼崩乐坏啊，,25,-1,115,FALSE
891,江美琳,礼崩乐坏,25,0,115,FALSE
892,陈寒松,就是彩礼谈崩了，,25,0,116,TRUE
893,陈寒松,那周围的人不都给乐坏了。,25,0,116,FALSE
894,江美琳,其实他在同龄人中已经是很优秀了。,25,-1,116,FALSE
895,江美琳,如果他真的有上进心的话，,25,-1,116,FALSE
896,江美琳,未必，,25,-1,116,FALSE
897,江美琳,未必,26,-1,116,FALSE
898,许野,阿姨，,26,-1,116,FALSE
899,许野,不好意思啊，,26,-1,116,FALSE
900,许野,我得工作了。,26,-1,116,FALSE
901,江美琳,嗯，,26,0,117,TRUE
902,江美琳,今天就先到这儿吧，,26,0,117,FALSE
903,江美琳,青青，,26,0,117,FALSE
904,江美琳,我们先走吧，,26,0,117,FALSE
905,许野,我送你们。,26,0,117,FALSE
906,许野,好，,26,4,117,FALSE
907,江美琳,许野,26,-1,118,TRUE
908,江美琳,跟你聊天很愉快，,26,-1,118,FALSE
909,江美琳,不过今天的事我要再给你道个歉。,26,-1,118,FALSE
910,江美琳,你要是跟青青在一起的话，,26,-1,118,FALSE
911,江美琳,我不会阻止你的,26,-1,118,FALSE
912,许野,阿姨你放心吧，,26,-1,118,FALSE
913,许野,我一定会保护好青青的。,26,-1,118,FALSE
914,许野,嗯,26,3,118,FALSE
915,陈青青,妈，,26,0,118,FALSE
916,陈青青,你刚刚在外头跟许野说了什么呀？,26,0,118,FALSE
917,江美琳,青青，许野在同龄人中算是很优秀的,26,0,118,FALSE
918,江美琳,妈妈支持你们在一起。,26,0,118,FALSE
919,江美琳,不过在结婚之前，,26,-1,118,FALSE
920,江美琳,我希望你们不要越过某种界限，,26,-1,118,FALSE
921,江美琳,你应该懂妈妈的意思吧,26,-1,118,FALSE
922,陈青青,嗯,26,0,118,FALSE
923,陈青青,妈，,27,0,118,FALSE
924,陈青青,我出去一趟,27,0,118,FALSE
925,江美琳,小许约你了？,27,-1,118,FALSE
926,陈青青,嗯，,27,4,118,FALSE
927,江美琳,青青，,27,0,119,TRUE
928,江美琳,你后天不是要去魔都上大学吗？,27,0,119,FALSE
929,江美琳,妈明天一早就得走，,27,0,119,FALSE
930,江美琳,但我给你爸打了电话，,27,0,119,FALSE
931,江美琳,让他送你去魔都，,27,0,119,FALSE
932,陈青青,我才不要他送你,27,0,119,FALSE
933,陈青青,你爸好不容易答应你一次，你，,27,0,119,FALSE
934,陈青青,我出去了,27,0,119,FALSE
935,江美琳,青青，妈妈在家煮了饭，,27,0,120,TRUE
936,江美琳,你让小许回来一起吃啊。,27,0,120,FALSE
937,陈青青,我知道了。,27,1,120,FALSE
938,陈青青,喂，,27,0,120,FALSE
939,陈青青,你女儿不想让你送她去魔都,27,0,120,FALSE
940,陈寒松,他第一次上大学，你不送我不送，,27,-1,120,FALSE
941,陈寒松,让他怎么去啊？,27,-1,120,FALSE
942,陈青青,可能是小许送他吧。,27,-1,121,TRUE
943,陈寒松,小许，许野啊？,27,0,121,FALSE
944,陈寒松,江美莲，,27,0,121,FALSE
945,陈寒松,你疯了吧！,27,0,121,FALSE
946,陈寒松,他们两个再这么发展下去，,27,-1,121,FALSE
947,陈寒松,你想过会发生什么吗？,27,-1,121,FALSE
948,陈青青,我只要青青开心，,27,0,121,FALSE
949,陈寒松,你简直不可理喻。,27,0,121,FALSE
950,江美琳,你连你女儿生日都没空，,27,0,121,FALSE
951,江美琳,现在知道关心你女儿了，,27,0,121,FALSE
952,江美琳,我怎么,27,0,121,FALSE
953,江美琳,来了，,27,0,121,FALSE
954,江美琳,青青,27,0,121,FALSE
955,陈青青,妈,27,3,121,FALSE
956,江美琳,都这么大了。,27,0,121,FALSE
957,陈青青,嗯，,27,4,121,FALSE
958,许野,老登,27,-1,121,FALSE
959,许野,恭喜你青青怀孕了，,27,-1,121,FALSE
960,江美琳,哎呀，,27,1,122,TRUE
961,江美琳,不是这,27,1,122,FALSE
962,江美琳,不行,27,1,122,FALSE
963,江美琳,我必须得回去一趟。,27,1,122,FALSE
964,江美琳,嗯，嗯？,28,0,122,FALSE
965,江美琳,这么快就回来了，,28,0,122,FALSE
966,江美琳,哼，,28,0,122,FALSE
967,陈寒松,青青呢？,28,2,122,FALSE
968,江美琳,跟小许出去了,28,-1,122,FALSE
